Token,Frequency
▁কাছে,2
▁দেরি,2
▁ভাবে,2
▁বিদ্যা,2
ছো,2
▁সরে,2
▁ফ্রে,2
▁টু,2
খ্,2
ম্বর,2
▁আরম্ভ,2
সন,2
ব্রা,2
▁ন,2
▁বাকী,2
▁চ্যা,2
ম্যান,2
মেন,2
▁আপনারা,2
▁যত,2
য়ারা,2
▁তামাক,2
▁উপবিষ্ট,2
▁কারো,2
▁রেখেছেন,2
▁গাই,2
▁তাল,2
▁তোমায়,2
▁বাম,2
▁দেয়,2
▁উপরে,2
থ,2
▁বললে,2
আবার,2
▁মিথ্যা,2
িনি,2
▁ঠাণ্ডা,2
▁ভুল,2
▁রয়ে,2
▁ব্যবহার,2
৷,2
▁ঠক,2
আমরা,2
▁যাতে,2
▁উই,2
পর,2
▁দ্বারা,2
▁রিফ,2
▁ইং,2
▁দেশ,2
▁লিব,2
▁হল,2
▁অস,2
▁সকলকে,2
▁কম,2
ত্থান,2
হুর,2
▁২৬,2
▁তবলা,2
▁বেহালা,2
▁হ্যা,2
ভয়,2
ড়িত,2
▁রঙ,2
ত্রু,2
▁পাব,2
▁পারবে,2
▁উপর,2
▁শো,2
▁চাদর,2
▁কলি,2
কালের,2
▁গেছেন,2
▁৩০,2
▁গাল,2
▁চু,2
▁ঘরে,2
▁ডেম,2
নি,2
▁সমস্ত,2
▁অপর,2
▁ভ,2
দি,2
▁করতে,2
ঠো,2
▁দুধের,2
ঙ্গার,2
▁লজ্জা,2
▁থাকল,2
▁ডিজিটাল,2
▁গ্রন্থাগার,2
▁মুক্ত,2
▁জন্য,2
গুলিকে,2
▁পারেন,2
ইয়ে,2
▁অক্টোবর,1
২৩,1
▁তারিখে,1
▁রপ্তানি,1
▁প্রচ্ছদ,1
মাইকেল,1
▁মধুসূদন,1
▁দত্ত,1
▁প্রণীত,1
▁দ্বিতীয়বার,1
▁মুদ্রিত,1
যু,1
▁ঈশ্বরচন্দ্র,1
▁কোং,1
বাজার,1
স্থ,1
২,1
▁সংখ্যক,1
▁ভবনে,1
্যান,1
▁যন্ত্রে,1
ত্র,1
িত,1
▁সন,1
৬৯,1
▁সাল,1
▁পাত্র,1
▁নাট্য,1
ল্লিখিত,1
▁ব্যক্তিগণ,1
ওয়ালী,1
দল,1
▁চৌকি,1
হারা,1
▁মূল,1
▁গ্রন্থে,1
সূচী,1
পত্র,1
▁১,1
আস,1
ীন,1
▁এসেছেন,1
নো,1
▁তুফান,1
▁নৌকা,1
▁বাঁচিয়ে,1
▁ঘাটে,1
▁হাল,1
▁দেওয়া,1
স্ক্রি,1
প্স,1
▁লিস্ট,1
▁অতি,1
▁২,1
▁নিজে,1
▁চা,1
▁দশ,1
▁ছাড়া,1
▁তত্ত্ব,1
▁সেথ,1
▁দেবার,1
▁অত,1
চিয়ে,1
▁কালি,1
র্ষ,1
▁জ,1
থিং,1
▁চতুর্,1
দ্দি,1
▁অকাল,1
▁বাদল,1
▁প্লে,1
▁নষ্ট,1
▁মনি,1
▁ম্যাটার,1
▁সাহায্য,1
▁৩,1
▁দুঃখের,1
জ্ঞা,1
▁ভক্ত,1
প্রবেশ,1
▁রাবণ,1
▁লঙ্কা,1
ক্লে,1
▁প্রদর্শন,1
▁আরো,1
খানি,1
▁জেনে,1
রেল,1
▁সুযোগ,1
িস,1
বিজ,1
▁জমা,1
▁পুনর্,1
ম্ম,1
পান,1
গ্,1
গীর,1
গ্গ,1
▁৪,1
▁বাইরে,1
▁সাক্ষাৎ,1
▁গাড়ী,1
▁দ,1
রোজ,1
লেই,1
▁উপস্থিত,1
▁হবেন,1
▁চাক,1
▁নর,1
▁এমনি,1
▁নেশা,1
▁থাকুক,1
এর,1
স্ব,1
ভঙ্গ,1
গাছি,1
শত,1
▁শা,1
▁উইল,1
্স,1
▁আখড়া,1
▁নিত্য,1
▁পাই,1
▁৫,1
ত্তি,1
▁ফ্যামিলি,1
▁কথাটি,1
▁পার্,1
▁মাটি,1
▁উড়ে,1
▁তিলক,1
▁সাধু,1
্তো,1
▁ছু,1
করি,1
ন্দি,1
কেও,1
▁চিনি,1
▁চেন,1
▁একদিন,1
▁মদন,1
রাও,1
▁ছিলেন,1
▁ওল্ড,1
▁চেপে,1
▁হাসি,1
ঞ্চ,1
▁পুঁথি,1
▁শিখ,1
▁৬,1
▁সার্,1
▁বিষয়ে,1
▁পণ্ডিত,1
ব্দ,1
গীতা,1
গীত,1
▁আরবি,1
▁ভায়া,1
▁চির,1
জীবী,1
▁হও,1
▁দাস,1
৺,1
▁জা,1
ন্তে,1
▁বাঁশ,1
বেড়,1
ধাম,1
▁হন,1
▁মিত্র,1
▁চিল,1
▁শুনতে,1
▁তেমনি,1
▁সুশীল,1
▁আজ্ঞা,1
▁করুন,1
▁নামে,1
▁সেখানে,1
▁মিট,1
▁ইংরাজী,1
▁চর,1
চ্চা,1
▁জাতীয়,1
▁ভাষা,1
▁জানা,1
▁সংস্কৃত,1
বিদ্যা,1
▁আলোচনা,1
▁সংস্থা,1
পন,1
▁করেছি,1
▁শনিবার,1
